iter	Passed	Remaining
0	150	150010
1	150	75150
2	151	50193
3	151	37711
4	151	30224
5	152	25228
6	152	21664
7	153	18991
8	153	16910
9	153	15245
10	154	13883
11	154	12751
12	155	11791
13	155	10968
14	156	10255
15	156	9630
16	157	9082
17	157	8598
18	158	8159
19	158	7765
20	158	7408
21	159	7083
22	159	6787
23	160	6515
24	160	6264
25	161	6033
26	161	5819
27	161	5619
28	162	5435
29	162	5263
30	163	5105
31	163	4956
32	164	4814
33	164	4682
34	165	4557
35	165	4439
36	166	4327
37	166	4220
38	167	4118
39	167	4021
40	167	3929
41	168	3841
42	168	3758
43	169	3677
44	169	3601
45	170	3528
46	170	3457
47	170	3390
48	171	3325
49	171	3263
50	172	3204
51	172	3146
52	173	3092
53	173	3038
54	173	2987
55	174	2938
56	174	2890
57	175	2845
58	175	2800
59	176	2759
60	176	2719
61	177	2680
62	177	2642
63	178	2605
64	178	2569
65	179	2534
66	179	2499
67	179	2463
68	180	2431
69	180	2399
70	181	2369
71	181	2339
72	181	2310
73	182	2282
74	182	2254
75	183	2228
76	183	2202
77	184	2179
78	184	2154
79	185	2130
80	185	2107
81	186	2083
82	186	2061
83	186	2038
84	187	2015
85	187	1994
86	187	1972
87	188	1952
88	188	1932
89	189	1913
90	189	1894
91	190	1877
92	190	1860
93	191	1842
94	191	1825
95	192	1809
96	192	1792
97	193	1777
98	193	1761
99	194	1746
100	194	1731
101	194	1715
102	195	1701
103	195	1687
104	196	1673
105	196	1659
106	197	1645
107	197	1632
108	198	1619
109	198	1606
110	199	1593
111	199	1581
112	199	1569
113	200	1556
114	200	1544
115	201	1532
116	201	1522
117	202	1511
118	202	1500
119	203	1489
120	203	1478
121	204	1468
122	204	1456
123	204	1447
124	205	1437
125	205	1427
126	206	1418
127	206	1407
128	207	1397
129	207	1388
130	207	1379
131	208	1370
132	208	1361
133	209	1352
134	209	1343
135	210	1334
136	210	1326
137	210	1317
138	211	1309
139	211	1301
140	212	1293
141	212	1285
142	213	1277
143	213	1269
144	214	1261
145	214	1254
146	214	1247
147	215	1239
148	215	1232
149	216	1225
150	216	1218
151	217	1211
152	217	1204
153	218	1198
154	218	1191
155	218	1184
156	219	1177
157	219	1171
158	220	1164
159	220	1158
160	221	1152
161	221	1146
162	221	1139
163	222	1133
164	222	1127
165	223	1121
166	223	1115
167	224	1110
168	224	1104
169	224	1098
170	225	1092
171	225	1087
172	226	1081
173	226	1076
174	227	1071
175	227	1065
176	228	1061
177	228	1055
178	229	1050
179	229	1045
180	229	1039
181	230	1034
182	230	1029
183	231	1024
184	231	1020
185	232	1015
186	232	1011
187	233	1006
188	233	1002
189	234	998
190	234	993
191	235	989
192	235	985
193	236	981
194	236	976
195	237	972
196	237	967
197	237	963
198	238	959
199	238	954
200	239	950
201	239	946
202	239	941
203	240	937
204	240	933
205	241	930
206	241	926
207	242	922
208	242	918
209	243	914
210	243	911
211	244	907
212	244	903
213	245	900
214	245	896
215	245	892
216	246	889
217	246	885
218	247	881
219	247	878
220	248	874
221	248	871
222	249	867
223	249	864
224	249	860
225	250	857
226	250	853
227	251	850
228	251	846
229	251	843
230	252	840
231	252	837
232	253	833
233	253	830
234	254	827
235	254	824
236	255	821
237	255	818
238	256	815
239	256	812
240	256	809
241	257	806
242	257	803
243	258	800
244	258	797
245	259	794
246	259	791
247	260	788
248	260	785
249	260	782
250	261	779
251	261	777
252	262	774
253	262	771
254	263	768
255	263	765
256	263	762
257	264	760
258	264	757
259	265	754
260	265	752
261	266	749
262	266	746
263	266	744
264	267	741
265	267	739
266	268	736
267	268	734
268	269	731
269	269	729
270	270	726
271	270	724
272	271	721
273	271	719
274	271	716
275	272	714
276	272	711
277	273	709
278	273	707
279	274	704
280	274	702
281	274	699
282	275	697
283	275	694
284	276	692
285	276	690
286	276	687
287	277	685
288	277	683
289	278	680
290	278	678
291	279	676
292	279	674
293	279	672
294	280	670
295	280	668
296	281	666
297	281	664
298	282	662
299	282	660
300	283	658
301	283	655
302	284	653
303	284	651
304	285	649
305	285	647
306	285	645
307	286	643
308	286	641
309	287	639
310	287	637
311	288	635
312	288	633
313	289	631
314	289	629
315	289	627
316	290	625
317	290	623
318	291	621
319	291	619
320	291	617
321	292	615
322	292	613
323	293	611
324	293	610
325	294	608
326	294	606
327	295	604
328	295	603
329	296	601
330	296	599
331	297	597
332	297	596
333	298	594
334	298	592
335	298	590
336	299	588
337	299	587
338	300	585
339	300	583
340	301	581
341	301	579
342	301	578
343	302	576
344	302	574
345	303	573
346	303	571
347	304	569
348	304	567
349	304	566
350	305	564
351	305	562
352	306	561
353	306	559
354	307	558
355	307	556
356	308	554
357	308	553
358	308	551
359	309	550
360	309	548
361	310	546
362	310	545
363	311	543
364	311	542
365	312	540
366	312	538
367	312	537
368	313	535
369	313	534
370	314	532
371	314	531
372	315	529
373	315	527
374	315	526
375	316	525
376	316	523
377	317	522
378	317	520
379	318	519
380	318	517
381	319	516
382	319	514
383	320	513
384	320	512
385	321	510
386	321	509
387	322	508
388	322	506
389	323	505
390	323	503
391	323	502
392	324	500
393	324	499
394	325	497
395	325	496
396	325	495
397	326	493
398	326	492
399	327	490
400	327	489
401	328	488
402	328	486
403	328	485
404	329	483
405	329	482
406	330	481
407	330	479
408	331	478
409	331	477
410	331	475
411	332	474
412	333	473
413	333	472
414	333	470
415	334	469
416	334	468
417	335	466
418	335	465
419	336	464
420	336	463
421	337	461
422	337	460
423	338	459
424	339	458
425	339	457
426	340	456
427	340	455
428	341	454
429	341	453
430	342	452
431	342	450
432	343	449
433	344	448
434	344	447
435	345	446
436	345	445
437	346	444
438	346	443
439	347	442
440	348	441
441	348	440
442	349	439
443	349	438
444	350	436
445	350	435
446	351	434
447	351	433
448	352	432
449	352	431
450	353	429
451	353	428
452	354	427
453	354	426
454	355	425
455	355	424
456	356	423
457	356	422
458	357	421
459	357	420
460	358	419
461	358	417
462	359	416
463	359	415
464	360	414
465	360	413
466	361	412
467	361	411
468	362	410
469	362	409
470	363	407
471	363	406
472	364	405
473	364	404
474	364	403
475	365	402
476	365	401
477	366	400
478	366	398
479	367	397
480	367	396
481	368	395
482	368	394
483	368	393
484	369	392
485	369	391
486	370	390
487	370	388
488	371	387
489	371	386
490	372	385
491	372	384
492	373	383
493	373	382
494	373	381
495	374	380
496	374	379
497	375	378
498	375	377
499	376	376
500	376	375
501	376	373
502	377	372
503	377	371
504	378	370
505	378	369
506	379	368
507	379	367
508	380	366
509	380	365
510	380	364
511	381	363
512	381	362
513	382	361
514	382	360
515	383	359
516	383	358
517	384	357
518	384	356
519	385	355
520	385	354
521	386	353
522	387	353
523	387	352
524	387	350
525	388	349
