iter	Passed	Remaining
0	0	571
1	1	518
2	1	499
3	1	489
4	2	484
5	2	484
6	3	481
7	3	480
8	4	505
9	5	512
10	5	511
11	6	512
12	6	510
13	7	509
14	7	508
15	8	505
16	8	505
17	9	505
18	9	500
19	10	496
20	10	494
21	11	492
22	11	489
23	11	487
24	12	486
25	12	484
26	13	482
27	13	480
28	14	479
29	14	476
30	15	476
31	15	474
32	16	473
33	16	472
34	17	470
35	17	469
36	18	469
37	18	467
38	19	468
39	19	476
40	20	478
41	20	477
42	21	477
43	21	476
44	22	477
45	22	476
46	23	475
47	23	474
48	24	472
49	24	471
50	25	470
51	25	469
52	26	467
53	26	466
54	27	465
55	27	463
56	27	462
57	28	462
58	28	460
59	29	459
60	29	458
61	30	457
62	30	456
63	31	455
64	31	454
65	32	453
66	32	452
67	32	451
68	33	450
69	33	450
70	34	450
71	34	449
72	35	448
73	35	447
74	36	446
75	36	445
76	37	444
77	37	443
78	37	442
79	38	441
80	38	440
81	39	440
82	39	437
83	40	436
84	40	435
85	40	435
86	41	434
87	41	433
88	42	433
89	42	432
90	43	431
91	43	431
92	44	430
93	44	429
94	45	428
95	45	427
96	45	427
97	46	426
98	46	425
99	47	425
100	47	424
101	48	423
102	48	423
103	49	425
104	49	425
105	50	425
106	50	424
107	51	424
108	51	424
109	52	424
110	52	424
111	53	423
112	53	422
113	54	422
114	54	421
115	55	421
116	55	419
117	56	419
118	56	418
119	57	418
120	57	418
121	57	416
122	58	416
123	58	415
124	59	415
125	59	414
126	60	413
127	60	412
128	61	412
129	61	411
130	61	410
131	62	409
132	62	409
133	63	408
134	63	408
135	64	408
136	64	408
137	65	407
138	65	407
139	66	407
140	66	407
141	67	405
142	67	405
143	68	405
144	68	405
145	69	404
146	69	405
147	70	404
148	70	404
149	71	404
150	71	403
151	72	404
152	72	404
153	73	404
154	74	404
155	74	403
156	75	403
157	75	403
158	76	403
159	76	402
160	77	401
161	77	401
162	78	401
163	78	401
164	79	400
165	79	400
166	80	399
167	80	399
168	81	398
169	81	398
170	82	398
171	82	397
172	83	397
173	83	397
174	84	396
175	84	396
176	85	396
177	85	395
178	86	395
179	86	394
180	87	393
181	87	393
182	87	392
183	88	391
184	88	390
185	89	390
186	89	389
187	90	388
188	90	388
189	90	387
190	91	386
191	91	386
192	92	385
193	92	384
194	93	385
195	93	384
196	94	384
197	94	383
198	95	382
199	95	382
200	95	381
201	96	380
202	96	380
203	97	379
204	97	378
205	98	378
206	98	377
207	98	376
208	99	375
209	99	375
210	100	375
211	100	374
212	101	373
213	101	373
214	102	372
215	102	372
216	102	371
217	103	370
218	103	369
219	104	369
220	104	368
221	104	367
222	105	367
223	105	366
224	106	366
225	106	365
226	107	364
227	107	364
228	108	363
229	108	363
230	108	362
231	109	362
232	109	361
233	110	361
234	110	360
235	111	360
236	111	359
237	112	358
238	112	358
239	112	357
240	113	357
241	113	356
242	114	356
243	114	355
244	115	354
245	115	354
246	115	353
247	116	352
248	116	352
249	117	351
250	117	351
251	118	350
252	118	350
253	118	349
254	119	348
255	119	348
256	120	347
257	120	347
258	121	346
259	121	345
260	121	345
261	122	344
262	122	344
263	123	343
264	123	343
265	124	342
266	124	342
267	124	341
268	125	340
269	125	340
270	126	339
271	126	338
272	127	338
273	127	337
274	128	338
275	128	337
276	129	337
277	129	336
278	130	336
279	130	335
280	130	334
281	131	334
282	131	333
283	132	333
284	132	332
285	132	331
286	133	331
287	133	330
288	134	330
289	134	329
290	135	328
291	135	328
292	135	327
293	136	327
294	136	326
295	137	326
296	137	325
297	138	325
298	138	324
299	138	324
300	139	323
301	139	323
302	140	322
303	140	321
304	140	321
305	141	320
306	141	320
307	142	319
308	142	319
309	143	318
310	143	318
311	144	317
312	144	317
313	145	316
314	145	316
315	145	315
316	146	315
317	146	314
318	147	314
319	147	313
320	148	313
321	148	312
322	148	312
323	149	311
324	149	310
325	150	310
326	150	309
327	150	309
328	151	308
329	151	308
330	152	307
331	152	307
332	153	306
333	153	306
334	154	305
335	154	305
336	154	304
337	155	304
338	155	303
339	156	303
340	156	302
341	157	302
342	157	301
343	157	301
344	158	300
345	158	299
346	159	299
347	159	298
348	159	298
349	160	297
350	160	297
351	161	296
352	161	296
353	162	295
354	162	295
355	162	294
356	163	294
357	163	293
358	164	292
359	164	292
360	164	291
361	165	291
362	165	290
363	166	290
364	166	289
365	167	289
366	167	289
367	168	288
368	168	288
369	168	287
370	169	287
371	169	286
372	170	286
373	170	285
374	171	285
375	171	284
376	171	284
377	172	283
378	172	282
379	173	282
380	173	281
381	173	281
382	174	280
383	174	280
384	175	279
385	175	279
386	175	278
387	176	278
388	176	277
389	177	277
390	177	276
391	177	276
392	178	275
393	178	275
394	179	274
395	179	273
396	180	273
397	180	272
